Personality,DoYouKnowJustine,BuyorNotJustine,JustineText,DoYouKnowMarques,BuyorNotMarques,MarquesText
c,No,No,It's just another iphone...,Yes,No,"Insightful, but still over priced"
c,No,Yes,Very informative makes me want to get a new phone based on the camera alone. ,No,No,Ok interesting 
d,No,Yes,Detailed and very clear with the explanations. ,No,Yes,The phone is so cool ! 
a,No,Yes,A vivid demonstration of the special features of the latest iphone.,No,No,"Too factual, not interesting "
a,No,No,Detailed,No,Yes,Cool
b,No,No,Good comparison .. informative ,No,No,Thanks for the review 
b,No,No,"The video is quite lengthy, too much info to absorb",No,Yes,The video is quite interesting and informative despite the lengthy review
d,No,Yes,I am convinced ,No,Yes,He’s very detailed and I am convinced 
b,No,No,Informative,No,No,"Informative, neatly formatted, good flow of review, "
a,No,No,Straight to the point. ,No,No,Too long winded. No focus point. 
d,No,Yes,The camera man had great skill and the content details on camera comparison is spot on.,Yes,Yes,Cover more aspects of device improvements
c,No,No,Great camera and content,No,No,well organised and detailed review
c,No,No,Thanks for sharing Justine ◡̈ Features really awesome for the new iPhone13 pro max. Would appreciate better if the video is shorter and more straight to the point too; like a feature just focus on it once so not too draggy ◡̈ thanks still. Be blessed ,No,No,Thanks marques for the iPhone 13 reviews. Clear and good tips. Thank you.
c,No,No,detail of the difference between 12&13 camera plus use of new features of 13 which I may not be bothered to read up on.,No,No,"some info which I am not interested in, will skip watching this"
b,No,No,"Yet another iPhone. I dont need such a good camera, yet from this video thats my main takeaway. In fact, most people do not require such a good camera. This video makes me believe that other than the camera, the new iPhone is about the same as the few before it.",No,No,"This video talks a lot more about the inner working of the iPhone and how it can process things faster. Although its evident that all this technology already exists, yet is only now then applied to this version. While the cameras may be useful for a youtuber, the same cannot be said for most other people. It is hence evident how useless all these upgrades are, and Im convinced to just wait for the next one."
d,No,Yes,I like your video. It's very informative and entertaining. You show how an iPhone can be used in our daily lives. Well done!!,Yes,No,"Hi marques, you are too technical and boring. "
b,No,Yes,This is a really informative video and helped me to assess which iPhone I should get. Thank you for it! ,No,Yes,Great info about the cameras and how they are set apart from the iPhones from last year. 
c,No,Yes,"This review is comprehensive, detailed and demonstrates how to use the features in the new iPhone 13 series. It also shows how impressive the camera functions are, the differences that they offer, and how a user can make use of them. ",No,Yes,A rather organised and systematic review that we have here. Highlights certain features of the new iPhone series that users may not notice. 
a,No,No,Way too draggy,Yes,No,Good coverage and comparisons of the iPhone 13
d,No,Yes,"Very detailed review of the iPhone 12 vs 13 Pro. As a non-iPhone user, I'm very impressed by the features and may consider it for my next upgrade. ",No,Yes,I think this video is a bit too long and in-depth for a non-tech geek like me. I lost you half way. 
c,No,Yes,Helping phone user to decide buying pro or not of the phone model,No,Yes,Very good demonstration of the Pro motion and helping me to understand the benefits better
d,No,Yes,I like how she did this content. Great video! Its fun to watch. ,No,Yes,Very helpful reviews. 
c,No,No,Prefer comparison table to show advantage ,No,No,Like to have more details for comparison with other products 
c,No,No,Engaging,No,No,Interesting
c,No,No,Intriguing,No,No,Nice honest review ...
b,No,No,Great comparison of camera functions. But its not that good of a reason to be switching phones. If I wanted good camera functions I would have invested in a dslr camera instead. ,No,Yes,"I liked how he supported his points with visuals, making it very persuasive. Also mentioned other features of the iphone. "
d,No,No,The video provides a detail review on the phone’s camera function from the point of view of user.,Yes,Yes,His video provides more insight to the phone details with a slight touch of  humour. It is morr engaging.
d,No,Yes,Love the pictures you take to show off the iphone capability ,No,Yes,Great video. Will consider iphone 13 pro
c,No,Yes,Great explanations and very informative ,No,No,Great Analogical 
b,No,Yes,Detailed. Concise. Informative,No,No,Abit too long winded but informative 
c,No,No,"Good content, covers most of the parts fairly well! ",Yes,No,nice content as usual
c,No,Yes,Great Camera ,No,No,Not something I will watch 
d,Yes,Yes,Comprehensive yet interesting to watch how Iphone 13 Pro is such a wonderful piece of device to get hold off!,Yes,Yes,Iphone 13 Pro - Better than we think!
b,No,Yes,Very informative. Thank you,No,No,Lengthy but informative
c,No,No,Ok. Doesn’t interest me. But I can see why ppl watch her. ,No,No,I feel this one is better even though it’s shorter. 
a,No,No,Good review! I did not know there were some of these camera functions until I watched your video.,No,No,"Very detailed review! If I were considering between an iPhone 13 or Pro, your video is informative."
c,No,No,Video is too long. Good use of colours and content is informative on sharing the differences in phones,No,No,Technical information. Good that he framed how the video is going to be at the start of the video
c,No,No,Your video is 啰嗦 aka longwinded.,Yes,No,"Tks, you get to the point better than iJustine!"
d,No,Yes,Side-by-side comparison screens/videos from both devices and the leveraging of lifestyle shots are relatable and ideal to showcase iPhone 13's prowess. ,No,No,"Find the content delivery scripted, Marques was reading off the script."
b,No,No,a very lengthy video to just introduce the iphone 13 pro two camera features. should keep it short and sweet to introduce the key features plus other new functions. do love the cinematic effect.,No,No,very technical. quite boring to just show the photos in the video with the camera features and effect. seems like there are still some limitations with the new iphone 13 pro.
c,No,No,Awesome review ,Yes,Yes,Thanks for the detailed review!
d,No,No,Pretty good visuals.,No,No,Tech/Specs in-depth
d,No,Yes,The video provides a wide spectrum and is very informative.  I have learned a lot about the iPhone 13 Pro.  Good information and now I am convinced. ,No,Yes,Marques Brownlee’s video is good.  He shared a lot of details on the iPhone 13 Pro.  This video provides good information for anyone who is contemplating on buying the iPhone 13 Pro.  I for one is pretty much convinced.  
d,No,Yes,Really nicely and creatively-made video and great shots too! It was really engaging and entertaining to watch. I loved how you showed side by side comparisons - I know which model is a good fit for me now. ,No,Yes,Super thorough review and you definitely know what us phone geeks wanna know! Appreciate the live examples and also being honest about what additional features you would like to see. Really great tips as well!
d,No,Yes,Professional and entertaining,Yes,Yes,"Informative, neutral"
c,No,Yes,impressive video highlighting the quality and features of the iphone 13 pro; i wasn’t expecting the cinematic mode to be that good,No,Yes,too technical and not enough demonstrations
d,No,Yes,"It is good to have a comparison of both phones and show the difference using actual shooting on the spot.  The video, however, is a little lengthy though.",No,Yes,"Very good review.  Talk about the good and the bad, mostly based on his opinion.  But useful to know for those who don't ever own an Iphone before."
c,No,Yes,Thanks for the informative video! ,No,No,Alot of information about the specs.. just mundane to sit through the entire video. 
d,No,No,"It's helpful to see real life comparisons of the camera function and shooting style seems quite organic, but the review seems very camera-heavy compared to other phone features. ",No,Yes,Quite a well rounded review of the different tech features and the improvements from the previous iPhone 12 model 
b,No,Yes,Living for the kitten intermission ,No,Yes,Cool comparisons 
